Mois,Région,Production solaire (GWh),Production éolienne (GWh)
2014-09,Nouvelle-Aquitaine,142.345896,49.393208
2014-09,Occitanie,133.875962,104.572235
2014-09,Pays de la Loire,41.975996,48.059743
2014-09,Provence-Alpes-Côte d'Azur,98.008896,7.82584
2014-09,Île-de-France,7.393195,1.55476
2014-10,Auvergne-Rhône-Alpes,51.087375,52.679725
2014-10,Bourgogne-Franche-Comté,13.940825,27.768461
2014-10,Bretagne,11.855931,117.318789
2014-10,Centre-Val de Loire,14.058448,111.845331
2014-10,Corse,10.95785,1.48515
2014-10,Grand Est,28.974976,275.411293
2014-10,Hauts-de-France,7.284372,319.720927
2014-10,Normandie,7.327912,95.361097
2014-10,Nouvelle-Aquitaine,112.412405,61.544721
2014-10,Occitanie,112.143635,133.178496
2014-10,Pays de la Loire,26.35061,70.086514
2014-10,Provence-Alpes-Côte d'Azur,79.535018,8.039207
2014-10,Île-de-France,4.080594,2.616298
2014-11,Auvergne-Rhône-Alpes,25.238184,67.668836
2014-11,Bourgogne-Franche-Comté,7.691531,36.374662
2014-11,Bretagne,6.308616,125.144273
2014-11,Centre-Val de Loire,7.559518,136.126685
2014-11,Corse,5.973287,2.803153
2014-11,Grand Est,13.176289,344.077186
2014-11,Hauts-de-France,4.220122,306.466174
2014-11,Normandie,4.010301,96.675519
2014-11,Nouvelle-Aquitaine,57.43668,89.600959
2014-11,Occitanie,55.966111,186.95
2014-11,Pays de la Loire,14.604428,101.14378
2014-11,Provence-Alpes-Côte d'Azur,40.075136,7.434432
2014-11,Île-de-France,2.239943,2.681988
2014-12,Auvergne-Rhône-Alpes,17.863884,74.905799
2014-12,Bourgogne-Franche-Comté,3.444572,55.498482
2014-12,Bretagne,4.439931,150.977571
2014-12,Centre-Val de Loire,4.193184,190.018215
2014-12,Corse,6.728177,1.819074
2014-12,Grand Est,5.382434,521.961637
2014-12,Hauts-de-France,2.103163,515.765969
2014-12,Normandie,2.638403,135.532233
2014-12,Nouvelle-Aquitaine,44.258431,76.337001
2014-12,Occitanie,46.142228,270.941084
2014-12,Pays de la Loire,9.712829,105.148462
2014-12,Provence-Alpes-Côte d'Azur,42.281633,15.684123
2014-12,Île-de-France,1.151966,4.273963
2015-01,Auvergne-Rhône-Alpes,24.867689,70.684359
2015-01,Bourgogne-Franche-Comté,4.92709,75.609008
2015-01,Bretagne,5.778626,183.815529
2015-01,Centre-Val de Loire,6.034027,224.189591
2015-01,Corse,8.077107,3.452315
2015-01,Grand Est,9.276562,579.678081
2015-01,Hauts-de-France,3.033987,534.661798
2015-01,Normandie,3.428746,150.995684
2015-01,Nouvelle-Aquitaine,54.883397,97.89344
2015-01,Occitanie,62.51134,230.346547
2015-01,Pays de la Loire,12.736579,130.956446
2015-01,Provence-Alpes-Côte d'Azur,54.762102,12.261986
2015-01,Île-de-France,1.538583,4.955532
2015-02,Auvergne-Rhône-Alpes,33.052793,66.137766
2015-02,Bourgogne-Franche-Comté,10.106593,61.487549
2015-02,Bretagne,9.674576,162.172585
2015-02,Centre-Val de Loire,10.228383,197.658714
2015-02,Corse,7.693712,2.581572
2015-02,Grand Est,20.852932,450.500379
2015-02,Hauts-de-France,5.631488,395.704364
2015-02,Normandie,5.538952,108.136972
2015-02,Nouvelle-Aquitaine,87.469848,98.991539
2015-02,Occitanie,79.766356,219.182314
2015-02,Pays de la Loire,21.293921,131.711468
2015-02,Provence-Alpes-Côte d'Azur,64.554006,11.784671
2015-02,Île-de-France,3.066745,4.224572
2015-03,Auvergne-Rhône-Alpes,57.550228,74.825897
2015-03,Bourgogne-Franche-Comté,17.638181,53.957312
2015-03,Bretagne,14.07284,163.903648
2015-03,Centre-Val de Loire,16.568649,180.399883
2015-03,Corse,10.651493,2.376238
2015-03,Grand Est,44.770637,468.725493
2015-03,Hauts-de-France,10.090471,465.527514
2015-03,Normandie,9.23619,115.888059
2015-03,Nouvelle-Aquitaine,114.297091,91.539438
2015-03,Occitanie,114.211356,252.697843
2015-03,Pays de la Loire,31.663501,121.650118
2015-03,Provence-Alpes-Côte d'Azur,90.99548,10.023882
2015-03,Île-de-France,5.434693,3.825026
2015-04,Auvergne-Rhône-Alpes,81.747491,66.232188
2015-04,Bourgogne-Franche-Comté,24.107487,50.245378
2015-04,Bretagne,21.78038,104.029072
2015-04,Centre-Val de Loire,25.493996,150.438215
2015-04,Corse,14.84486,0.92637
2015-04,Grand Est,57.711456,346.223908
2015-04,Hauts-de-France,15.73996,317.327022
2015-04,Normandie,14.202023,72.162339
2015-04,Nouvelle-Aquitaine,186.207858,68.631004
2015-04,Occitanie,167.2407,176.313236
2015-04,Pays de la Loire,44.833203,88.236806
2015-04,Provence-Alpes-Côte d'Azur,120.825249,8.686235
2015-04,Île-de-France,8.214703,2.959761
2015-05,Auvergne-Rhône-Alpes,91.690844,86.264374
2015-05,Bourgogne-Franche-Comté,25.254782,51.522072
2015-05,Bretagne,21.560906,112.731903
2015-05,Centre-Val de Loire,27.846088,139.699235
2015-05,Corse,15.322196,1.408795
2015-05,Grand Est,58.702913,346.789644
2015-05,Hauts-de-France,15.635427,350.819572
2015-05,Normandie,14.176826,85.240894
2015-05,Nouvelle-Aquitaine,194.102118,67.787067
2015-05,Occitanie,181.999314,234.81027
